nombre_en_ingles,leiva,estacion_cacao,Nueva Zelandia,quica,sensoria,total
Little Tinamou,6,NA,NA,NA,NA,6
Thicket Tinamou,NA,1,NA,NA,NA,1
Crested Guan,3,4,NA,NA,NA,7
Great Curassow,NA,2,NA,NA,NA,2
Red-billed Pigeon,1,NA,NA,2,NA,3
Inca Dove,NA,NA,NA,NA,2,2
Common Ground Dove,1,NA,NA,4,NA,5
Ruddy Ground Dove,4,NA,NA,NA,10,14
White-tipped Dove,9,NA,NA,4,2,15
White-winged Dove,10,NA,NA,13,7,30
Groove-billed Ani,11,NA,NA,8,12,31
Squirrel Cuckoo,3,NA,NA,2,2,7
Common Pauraque,4,NA,NA,NA,NA,4
White-collared Swift,NA,108,NA,NA,5,113
Vaux's Swift,NA,NA,NA,NA,12,12
White-necked Jacobin,NA,NA,NA,NA,1,1
Green Hermit,NA,NA,NA,NA,1,1
Long-billed Hermit,1,NA,NA,NA,1,2
Stripe-throated Hermit,1,NA,NA,3,NA,4
Purple-throated Mountain-gem,NA,8,NA,NA,NA,8
Violet-headed Hummingbird,NA,NA,NA,NA,2,2
Violet Sabrewing,NA,2,NA,NA,NA,2
Stripe-tailed Hummingbird,NA,1,NA,NA,NA,1
Scaly-breasted Hummingbird,NA,NA,NA,NA,1,1
Rufous-tailed Hummingbird,5,NA,NA,NA,3,8
White-throated Crake,2,NA,NA,NA,NA,2
Southern Lapwing,NA,NA,3,NA,1,4
Northern Jacana,4,NA,14,NA,1,19
Wood Stork,NA,NA,NA,NA,1,1
Little Blue Heron,NA,NA,1,NA,NA,1
Green Heron,NA,NA,1,NA,NA,1
Western Cattle Egret,28,NA,NA,8,11,47
Great Blue Heron,NA,NA,1,NA,NA,1
Great Egret,NA,NA,NA,NA,1,1
Black Vulture,20,NA,NA,20,41,81
Turkey Vulture,9,4,NA,2,6,21
Black Hawk-Eagle,1,NA,NA,NA,NA,1
White Hawk,NA,NA,NA,NA,1,1
Gray Hawk,1,NA,NA,1,2,4
Broad-winged Hawk,NA,1,NA,1,3,5
Zone-tailed Hawk,NA,NA,NA,NA,1,1
Spectacled Owl,NA,2,NA,NA,NA,2
Black-and-white Owl,NA,1,NA,NA,NA,1
Gartered Trogon,NA,NA,NA,NA,1,1
Broad-billed Motmot,NA,NA,NA,NA,1,1
Ringed Kingfisher,1,NA,NA,NA,NA,1
Rufous-tailed Jacamar,NA,NA,NA,NA,1,1
Collared Aracari,15,1,NA,NA,NA,16
Yellow-eared Toucanet,NA,3,NA,NA,NA,3
Yellow-throated Toucan,6,NA,NA,NA,2,8
Keel-billed Toucan,11,4,NA,7,5,27
Black-cheeked Woodpecker,2,NA,NA,3,4,9
Hoffmann's Woodpecker,2,NA,1,2,3,8
Smoky-brown Woodpecker,NA,NA,NA,NA,1,1
Pale-billed Woodpecker,1,NA,NA,NA,NA,1
Lineated Woodpecker,3,NA,NA,1,NA,4
Laughing Falcon,1,NA,NA,1,1,3
Collared Forest-Falcon,1,NA,NA,NA,1,2
Crested Caracara,NA,1,NA,1,1,3
Yellow-headed Caracara,NA,NA,NA,1,NA,1
American Kestrel,NA,1,NA,NA,NA,1
Orange-chinned Parakeet,10,NA,NA,NA,20,30
Brown-hooded Parrot,NA,NA,NA,NA,10,10
White-crowned Parrot,2,NA,NA,NA,2,4
Red-lored Parrot,3,NA,33,NA,20,56
White-fronted Parrot,2,NA,NA,NA,NA,2
Mealy Parrot,NA,NA,NA,1,NA,1
Olive-throated Parakeet,8,NA,NA,NA,NA,8
Barred Antshrike,3,NA,NA,2,1,6
Black-crowned Antshrike,NA,NA,NA,NA,1,1
Dot-winged Antwren,NA,NA,NA,5,NA,5
Dusky Antbird,NA,NA,NA,NA,2,2
Chestnut-backed Antbird,6,NA,NA,NA,NA,6
Bicolored Antbird,NA,NA,NA,NA,2,2
Spotted Antbird,1,5,NA,NA,NA,6
Black-faced Antthrush,NA,NA,NA,NA,2,2
Olivaceous Woodcreeper,NA,1,NA,NA,NA,1
Northern Barred-Woodcreeper,NA,2,NA,NA,NA,2
Spotted Woodcreeper,NA,1,NA,NA,NA,1
Streak-headed Woodcreeper,3,1,NA,NA,1,5
Plain Xenops,1,NA,NA,1,3,5
Long-tailed Manakin,NA,6,NA,NA,NA,6
White-collared Manakin,2,NA,NA,1,10,13
Black-crowned Tityra,4,NA,NA,NA,NA,4
Masked Tityra,2,NA,NA,3,4,9
Northern Schiffornis,NA,NA,NA,1,1,2
Olive-streaked Flycatcher,NA,1,NA,NA,1,2
Northern Bentbill,NA,NA,NA,2,1,3
Common Tody-Flycatcher,NA,NA,NA,1,3,4
Mistletoe Tyrannulet,3,1,NA,NA,1,5
Yellow-bellied Flycatcher,NA,1,NA,NA,NA,1
Black Phoebe,1,NA,NA,NA,1,2
Bright-rumped Attila,4,NA,NA,NA,NA,4
Rufous Mourner,NA,NA,NA,1,2,3
Dusky-capped Flycatcher,NA,1,NA,2,1,4
Great Kiskadee,8,NA,NA,6,3,17
Boat-billed Flycatcher,1,NA,NA,NA,NA,1
Social Flycatcher,6,NA,NA,5,3,14
Gray-capped Flycatcher,NA,NA,NA,NA,5,5
Tropical Kingbird,13,NA,1,8,10,32
Lesser Greenlet,NA,4,NA,4,5,13
Philadelphia Vireo,1,3,NA,NA,NA,4
White-throated Magpie-Jay,NA,NA,NA,NA,1,1
Brown Jay,NA,NA,NA,NA,2,2
Mangrove Swallow,NA,NA,2,NA,NA,2
Southern Rough-winged Swallow,NA,NA,NA,NA,8,8
Blue-and-white Swallow,36,NA,NA,NA,NA,36
Long-billed Gnatwren,NA,NA,NA,2,NA,2
White-browed Gnatcatcher,NA,NA,NA,NA,3,3
White-lored Gnatcatcher,NA,NA,NA,2,NA,2
Nightingale Wren,NA,5,NA,NA,NA,5
House Wren,4,NA,NA,NA,5,9
Cabanisâ€™s Wren,NA,NA,NA,2,NA,2
Bay Wren,5,NA,NA,2,7,14
White-breasted Wood-Wren,2,3,NA,NA,2,7
Gray-breasted Wood-Wren,NA,7,NA,NA,NA,7
Tropical Mockingbird,NA,NA,NA,NA,2,2
Wood Thrush,3,2,NA,2,NA,7
White-throated Thrush,NA,1,NA,NA,NA,1
Clay-colored Thrush,1,NA,NA,3,2,6
White-vented Euphonia,NA,1,NA,NA,2,3
Yellow-throated Euphonia,NA,NA,NA,2,2,4
Olive-backed Euphonia,NA,1,NA,6,3,10
Tawny-capped Euphonia,NA,NA,NA,NA,1,1
Common Chlorospingus,NA,8,NA,NA,NA,8
Stripe-headed Sparrow,3,NA,NA,NA,NA,3
Black-striped Sparrow,NA,NA,NA,2,NA,2
Eastern Meadowlark,NA,1,NA,NA,NA,1
Red-breasted Meadowlark,NA,NA,1,NA,NA,1
Montezuma Oropendola,13,NA,NA,5,23,41
Baltimore Oriole,3,NA,19,1,6,29
Melodious Blackbird,2,2,2,18,39,63
Great-tailed Grackle,22,NA,22,NA,8,52
Northern Waterthrush,1,NA,NA,1,NA,2
Golden-winged Warbler,NA,NA,NA,NA,1,1
Black-and-white Warbler,1,NA,NA,NA,NA,1
Tennessee Warbler,2,3,NA,NA,1,6
American Redstart,NA,NA,NA,1,NA,1
Tropical Parula,NA,NA,NA,NA,1,1
Yellow Warbler,1,NA,1,1,4,7
Chestnut-sided Warbler,5,NA,NA,2,6,13
Black-throated Green Warbler,NA,1,NA,NA,1,2
Chestnut-capped Warbler,NA,1,NA,NA,NA,1
Golden-crowned Warbler,NA,6,NA,NA,NA,6
Buff-rumped Warbler,NA,1,NA,NA,1,2
Slate-throated Redstart,NA,2,NA,NA,NA,2
Summer Tanager,5,NA,NA,1,5,11
Red-throated Ant-Tanager,5,1,NA,NA,3,9
Black-faced Grosbeak,NA,NA,NA,25,1,26
Blue-black Grosbeak,NA,NA,NA,1,1,2
Gray-headed Tanager,NA,1,NA,NA,NA,1
White-shouldered Tanager,1,NA,NA,3,2,6
Scarlet-rumped Tanager,20,NA,NA,17,9,46
Blue-gray Tanager,1,NA,1,3,7,12
Palm Tanager,1,NA,NA,NA,2,3
Golden-hooded Tanager,1,NA,NA,5,3,9
Rufous-winged Tanager,NA,NA,NA,NA,1,1
Silver-throated Tanager,NA,NA,NA,NA,2,2
Shining Honeycreeper,NA,NA,NA,3,4,7
Red-legged Honeycreeper,NA,NA,NA,5,9,14
Green Honeycreeper,2,NA,NA,3,2,7
Blue-black Grassquit,2,NA,NA,7,NA,9
Thick-billed Seed-Finch,NA,NA,NA,5,NA,5
Variable Seedeater,5,NA,NA,1,8,14
Bananaquit,NA,NA,NA,1,3,4
Yellow-faced Grassquit,NA,1,NA,NA,NA,1
Buff-throated Saltator,2,NA,NA,4,1,7
Cinnamon-bellied Saltator,1,NA,NA,NA,1,2
Magnolia Warbler,NA,1,NA,NA,NA,1
Ruddy-capped Nightingale-Thrush,NA,1,NA,NA,NA,1
Slaty-backed Nightingale-Thrush,NA,2,NA,NA,NA,2
Violaceous Quail-Dove,NA,2,NA,NA,NA,2
Red-tailed Hawk,NA,NA,NA,NA,1,1