especie,sum_ind,,,
Crested Guan,1,,Crested Guan,1
Ruddy Ground Dove,2,,Red-billed Pigeon,1
Squirrel Cuckoo,1,,Ruddy Ground Dove,1
White-collared Swift,6,,Blue Ground Dove,1
Blue-vented Hummingbird,1,,Squirrel Cuckoo,1
Plain-capped Starthroat,2,,Plain-capped Starthroat,1
Black Vulture,5,,Orange-chinned Parakeet,1
Turkey Vulture,1,,Streak-headed Woodcreeper,1
Short-tailed Hawk,1,,Long-tailed Manakin,1
Gartered Trogon,2,,Yellow-bellied Flycatcher,1
Hoffmann's Woodpecker,1,,Great Crested Flycatcher,2
Yellow-naped Parrot,2,,Scrub Euphonia,1
Long-tailed Manakin,2,,American Redstart,1
Boat-billed Flycatcher,1,,Chestnut-capped Warbler,1
Dusky-capped Flycatcher,1,,Western Tanager,1
Great Crested Flycatcher,1,,,
Social Flycatcher,2,,,
Tropical Pewee,1,,,
Western Kingbird,2,,,
Yellow-bellied Flycatcher,1,,,
Barred Antshrike,1,,,
Streak-headed Woodcreeper,1,,,
Lesser Greenlet,2,,,
Philadelphia Vireo,2,,,
White-browed Gnatcatcher,1,,,
Banded Wren,1,,,
Cabanis's Wren,2,,,
Scrub Euphonia,1,,,
Olive Sparrow,2,,,
American Redstart,1,,,
Black-and-white Warbler,1,,,
Chestnut-capped Warbler,1,,,
Northern Waterthrush,1,,,
Tennessee Warbler,1,,,
Pale-billed Pigeon,1,,,